season,team_page,player_link,playername,birth,pos,ht,wt,experience
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/CLE/2025.html,/players/a/allenja01.html,Jarrett Allen,us,C,6-11,243,7
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/PHI/2025.html,/players/b/baglema02.html,Marcus Bagley,us,SF,6-8,215,R
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/NOP/2025.html,/players/a/alvarjo01.html,Jose Alvarado,us,PG,6-0,179,3
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/MIA/2025.html,/players/a/adebaba01.html,Bam Adebayo,us,C,6-9,255,7
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/TOR/2025.html,/players/a/agbajoc01.html,Ochai Agbaji,us,SG,6-5,215,2
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/POR/2025.html,/players/a/avdijde01.html,Deni Avdija,il,SF,6-9,210,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2025,/teams/CHO/2025.html,/players/b/ballla01.html,LaMelo Ball,us,PG,6-7,180,4
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2015,/teams/NYK/2015.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,2
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2016,/teams/LAL/2016.html,/players/b/bassbr01.html,Brandon Bass,us,PF,6-8,250,10
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2017,/teams/DAL/2017.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,4
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2018,/teams/SAC/2018.html,/players/b/bogdabo01.html,Bogdan Bogdanović,rs,SG,6-5,220,R
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2019,/teams/MEM/2019.html,/players/a/anderky01.html,Kyle Anderson,us,SF,6-9,230,4
2020,/teams/CHO/2020.html,/players/b/bacondw01.html,Dwayne Bacon,us,SG,6-6,221,2
2020,/teams/CHO/2020.html,/players/b/bacondw01.html,Dwayne Bacon,us,SG,6-6,221,2
2020,/teams/CHO/2020.html,/players/b/bacondw01.html,Dwayne Bacon,us,SG,6-6,221,2
2020,/teams/CHO/2020.html,/players/b/bacondw01.html,Dwayne Bacon,us,SG,6-6,221,2
